name	begin	length	end	BLAST result	BLAST score	refseq	reverse complement	phylo-major result	phylo-major support	phylo-minor result	phylo-minor support
MN646694.1	-177	7291	7117	Hepeviridae Orthohepevirus A	85.19825	NC_001434	false	HEV3	100.0	HEV3r (p)	100.0
MN646693.1	-233	7424	7188	Hepeviridae Orthohepevirus A	82.75791	NC_001434	false	HEV3	100.0	HEV3f	100.0
MN646692.1	-184	7315	7134	Hepeviridae Orthohepevirus A	83.16442	NC_001434	false	HEV3	100.0	HEV3f	100.0
MN646691.1	-159	7345	7189	Hepeviridae Orthohepevirus A	82.54426	NC_001434	false	HEV3	100.0	HEV3e	100.0
MN646690.1	-156	7342	7189	Hepeviridae Orthohepevirus A	82.60062	NC_001434	false	HEV3	100.0	HEV3e	100.0
MN646689.1	-205	7307	7105	Hepeviridae Orthohepevirus A	82.73921	NC_001434	false	HEV3	100.0	HEV3f	100.0
LY647099.1	-107	7300	7193	Hepeviridae Orthohepevirus A	85.2727	NC_001434	false	HEV3ra	100.0		
MN401238.1	-13	7138	7125	Hepeviridae Orthohepevirus A	91.480705	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MN401237.1	-130	7232	7105	Hepeviridae Orthohepevirus A	82.453224	NC_001434	false	HEV3	100.0	HEV3f	100.0
LC484431.1	-110	7297	7183	Hepeviridae Orthohepevirus A	84.74948	NC_001434	false	HEV3ra	100.0		
MK192409.1	-65	7085	7014	Hepeviridae Orthohepevirus C	62.393562	GU345042	false				
MK192408.1	-20	7040	7014	Hepeviridae Orthohepevirus C	63.103123	GU345042	false				
MK192407.1	-130	7091	6964	Hepeviridae Orthohepevirus C	67.36629	GU345042	false				
MK192406.1	-14	7034	7014	Hepeviridae Orthohepevirus C	67.81003	GU345042	false				
MK192405.1	1	7019	7014	Hepeviridae Orthohepevirus C	62.241055	GU345042	false				
LC490579.1	-52	7239	7184	Hepeviridae Orthohepevirus A	88.102104	NC_001434	false	HEV3	100.0	HEV3b	100.0
LC387632.1	-62	7251	7184	Hepeviridae Orthohepevirus A	84.24251	NC_001434	false	HEV4	100.0	HEV4g	100.0
LC387631.1	-65	7253	7184	Hepeviridae Orthohepevirus A	83.90884	NC_001434	false	HEV4	100.0	HEV4c	100.0
MK410053.1	-61	7231	7168	Hepeviridae Orthohepevirus A	90.82722	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410052.1	-61	7245	7182	Hepeviridae Orthohepevirus A	90.65537	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410051.1	-61	7248	7182	Hepeviridae Orthohepevirus A	90.80332	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410050.1	-61	7246	7180	Hepeviridae Orthohepevirus A	90.387276	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410049.1	-64	7252	7182	Hepeviridae Orthohepevirus A	90.51569	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410048.1	-59	7205	7142	Hepeviridae Orthohepevirus A	83.80714	NC_001434	false	HEV4	100.0	HEV4k	100.0
MK410047.1	-61	7240	7174	Hepeviridae Orthohepevirus A	90.88398	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410046.1	-61	7208	7145	Hepeviridae Orthohepevirus A	89.681	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410045.1	-64	7261	7187	Hepeviridae Orthohepevirus A	90.35862	NC_001434	false	HEV4	100.0	HEV4a	100.0
MK410044.1	-66	7214	7146	Hepeviridae Orthohepevirus A	83.57608	NC_001434	false	HEV4	100.0	HEV4d	100.0
MF444145.1	-212	7322	7113	Hepeviridae Orthohepevirus A	84.9375	NC_001434	false	HEV3	100.0	HEV3h	100.0
MF444119.1	-258	7352	7097	Hepeviridae Orthohepevirus A	82.77363	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444086.1	-150	7220	7073	Hepeviridae Orthohepevirus A	82.73336	NC_001434	false	HEV3	100.0	HEV3e	100.0
MF444083.1	-215	7310	7098	Hepeviridae Orthohepevirus A	81.73678	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444033.1	-173	7283	7113	Hepeviridae Orthohepevirus A	81.96584	NC_001434	false	HEV3	100.0	HEV3f	100.0
MK330953.1	-62	7270	7204	Hepeviridae Orthohepevirus A	94.888794	NC_001434	false	HEV4	100.0	HEV4a	100.0
MH450031.1	-39	7215	7173	Hepeviridae Orthohepevirus A	82.92633	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450030.1	-39	7219	7177	Hepeviridae Orthohepevirus A	82.844246	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450029.1	-39	7219	7177	Hepeviridae Orthohepevirus A	82.70941	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450028.1	-39	7215	7173	Hepeviridae Orthohepevirus A	82.771454	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450027.1	-39	7215	7173	Hepeviridae Orthohepevirus A	82.73009	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450026.1	-39	7207	7165	Hepeviridae Orthohepevirus A	82.50259	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450025.1	-39	7219	7177	Hepeviridae Orthohepevirus A	82.64736	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450024.1	-32	7212	7177	Hepeviridae Orthohepevirus A	82.73009	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450023.1	-39	7219	7177	Hepeviridae Orthohepevirus A	82.70941	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH450022.1	-72	7270	7195	Hepeviridae Orthohepevirus A	90.124825	NC_001434	false	HEV3	100.0	HEV3a	100.0
MH450021.1	-47	7224	7178	Hepeviridae Orthohepevirus A	85.31411	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH450020.1	-35	7227	7190	Hepeviridae Orthohepevirus A	82.569374	NC_001434	false	HEV3	100.0	HEV3f	100.0
MK089849.1	-53	7251	7198	Hepeviridae Orthohepevirus A	85.162224	NC_001434	false	HEV3	100.0	HEV3c	100.0
MK089848.1	-56	7255	7201	Hepeviridae Orthohepevirus A	82.66529	NC_001434	false	HEV3	100.0	HEV3e	100.0
MK089847.1	-56	7256	7201	Hepeviridae Orthohepevirus A	82.41622	NC_001434	false	HEV3	100.0	HEV3l (p)	100.0
MK050463.1	-84	7186	7105	Hepeviridae Orthohepevirus A	83.52352	NC_001434	false	HEV3ra	100.0		
MH992013.1	-24	7221	7197	Hepeviridae Orthohepevirus A	91.645744	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992012.1	-24	7217	7193	Hepeviridae Orthohepevirus A	91.562065	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992011.1	-24	7217	7193	Hepeviridae Orthohepevirus A	91.841	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992010.1	-24	7216	7192	Hepeviridae Orthohepevirus A	91.520226	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992009.1	-14	7216	7202	Hepeviridae Orthohepevirus A	91.72942	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992008.1	-24	7216	7192	Hepeviridae Orthohepevirus A	91.58996	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992007.1	-24	7216	7192	Hepeviridae Orthohepevirus A	91.82706	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992006.1	-24	7215	7191	Hepeviridae Orthohepevirus A	91.757324	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992005.1	-24	7215	7191	Hepeviridae Orthohepevirus A	91.757324	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992004.1	-24	7215	7191	Hepeviridae Orthohepevirus A	91.71548	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992003.1	-24	7215	7191	Hepeviridae Orthohepevirus A	91.71548	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992002.1	-24	7215	7191	Hepeviridae Orthohepevirus A	91.72942	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992001.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.78522	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH992000.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.81311	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991999.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.81311	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991998.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.74338	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991997.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.71548	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991996.1	-24	7214	7190	Hepeviridae Orthohepevirus A	91.54812	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991995.1	-26	7204	7178	Hepeviridae Orthohepevirus A	91.58996	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991994.1	-24	7202	7178	Hepeviridae Orthohepevirus A	91.93863	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH991993.1	-24	7202	7178	Hepeviridae Orthohepevirus A	91.757324	NC_001434	false	HEV1	100.0	HEV1f	100.0
LC436450.1	-56	7238	7177	Hepeviridae Orthohepevirus A	84.43494	NC_001434	false	HEV4	100.0	HEV4b	100.0
LC436449.1	-56	7240	7179	Hepeviridae Orthohepevirus A	84.39442	NC_001434	false	HEV4	100.0	HEV4b	100.0
LC428039.1	-37	7244	7203	Hepeviridae Orthohepevirus A	84.8552	NC_001434	false	HEV4	100.0	HEV4b	100.0
MK390971.1	-45	7210	7165	Hepeviridae Orthohepevirus A	85.084816	NC_001434	false	HEV3	100.0	HEV3w (p)	100.0
MK390970.1	-45	7210	7165	Hepeviridae Orthohepevirus A	85.353745	NC_001434	false	HEV3	100.0	HEV3w (p)	100.0
MH410176.1	-56	7239	7186	Hepeviridae Orthohepevirus A	78.70043	NC_001434	false	HEV7	85.0		
MH410175.1	-56	7239	7186	Hepeviridae Orthohepevirus A	78.65891	NC_001434	false	HEV7	81.0		
MH410174.1	-56	7239	7186	Hepeviridae Orthohepevirus A	78.70043	NC_001434	false	HEV7	82.0		
MH504163.1	-16	7189	7173	Hepeviridae Orthohepevirus A	91.64924	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504162.1	-17	7210	7193	Hepeviridae Orthohepevirus A	91.62253	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH504161.1	-16	7194	7178	Hepeviridae Orthohepevirus A	91.54812	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504160.1	-14	7185	7171	Hepeviridae Orthohepevirus A	91.47957	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504159.1	-14	7187	7173	Hepeviridae Orthohepevirus A	91.48195	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504158.1	-23	7197	7174	Hepeviridae Orthohepevirus A	91.650406	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504157.1	-12	7184	7172	Hepeviridae Orthohepevirus A	91.87117	NC_001434	false	HEV1	100.0	HEV1a	100.0
MH504156.1	-16	7189	7173	Hepeviridae Orthohepevirus A	91.6353	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504155.1	-16	7189	7173	Hepeviridae Orthohepevirus A	91.3983	NC_001434	false	HEV1	100.0	HEV1g (p)	100.0
MH504154.1	-14	7197	7183	Hepeviridae Orthohepevirus A	91.520226	NC_001434	false	HEV1	100.0	HEV1f	100.0
MH504153.1	-49	7232	7184	Hepeviridae Orthohepevirus A	82.269356	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504152.1	-49	7235	7187	Hepeviridae Orthohepevirus A	82.45759	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504151.1	-35	7216	7184	Hepeviridae Orthohepevirus A	82.53086	NC_001434	false	HEV3	100.0	HEV3f	100.0
MH504150.1	-50	7236	7187	Hepeviridae Orthohepevirus A	82.084015	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504149.1	-48	7226	7179	Hepeviridae Orthohepevirus A	81.50257	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504148.1	-48	7222	7175	Hepeviridae Orthohepevirus A	81.67149	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504147.1	-35	7217	7185	Hepeviridae Orthohepevirus A	82.270226	NC_001434	false	HEV3	100.0	HEV3l (p)	100.0
MH504146.1	-55	7241	7187	Hepeviridae Orthohepevirus A	82.104614	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504145.1	-55	7241	7187	Hepeviridae Orthohepevirus A	82.39553	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504144.1	-50	7236	7187	Hepeviridae Orthohepevirus A	82.413506	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504143.1	-55	7234	7180	Hepeviridae Orthohepevirus A	82.31919	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504142.1	-49	7235	7187	Hepeviridae Orthohepevirus A	82.298706	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504141.1	-48	7222	7175	Hepeviridae Orthohepevirus A	82.40017	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504140.1	-55	7241	7187	Hepeviridae Orthohepevirus A	82.74721	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504139.1	-44	7230	7187	Hepeviridae Orthohepevirus A	82.39553	NC_001434	false	HEV3	100.0	HEV3e	100.0
MH504138.1	-52	7237	7186	Hepeviridae Orthohepevirus A	84.82531	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504137.1	-52	7237	7186	Hepeviridae Orthohepevirus A	85.27898	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504136.1	-44	7218	7175	Hepeviridae Orthohepevirus A	84.94935	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504135.1	-52	7237	7186	Hepeviridae Orthohepevirus A	84.43484	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504134.1	-52	7237	7186	Hepeviridae Orthohepevirus A	84.80777	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504133.1	-44	7229	7186	Hepeviridae Orthohepevirus A	84.91424	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504132.1	-44	7215	7172	Hepeviridae Orthohepevirus A	82.95102	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504131.1	-46	7231	7186	Hepeviridae Orthohepevirus A	84.934906	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504130.1	-50	7206	7159	Hepeviridae Orthohepevirus A	90.54954	NC_001434	false	HEV3	100.0	HEV3a	100.0
MH504129.1	-52	7237	7186	Hepeviridae Orthohepevirus A	84.86097	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504128.1	-52	7231	7180	Hepeviridae Orthohepevirus A	85.120895	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504127.1	-47	7221	7175	Hepeviridae Orthohepevirus A	84.68059	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504126.1	-52	7236	7185	Hepeviridae Orthohepevirus A	84.815346	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504125.1	-44	7229	7186	Hepeviridae Orthohepevirus A	84.640724	NC_001434	false	HEV3	100.0	HEV3c	100.0
MH504124.1	-52	7237	7186	Hepeviridae Orthohepevirus A	84.640724	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444144.1	-57	7141	7087	Hepeviridae Orthohepevirus A	83.05156	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444143.1	-53	7196	7146	Hepeviridae Orthohepevirus A	85.44853	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444142.1	-131	7262	7134	Hepeviridae Orthohepevirus A	83.16442	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444141.1	-38	7170	7135	Hepeviridae Orthohepevirus A	82.20935	NC_001434	false	HEV3	100.0	HEV3e	100.0
MF444140.1	-134	7287	7154	Hepeviridae Orthohepevirus A	82.482956	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444139.1	-130	7290	7163	Hepeviridae Orthohepevirus A	82.779274	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444138.1	-147	7328	7181	Hepeviridae Orthohepevirus A	83.09538	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444137.1	-120	7308	7191	Hepeviridae Orthohepevirus A	83.18163	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444136.1	-56	7183	7129	Hepeviridae Orthohepevirus A	84.75243	NC_001434	false	HEV3	100.0	HEV3h	100.0
MF444135.1	-60	7211	7154	Hepeviridae Orthohepevirus A	82.37587	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444134.1	-120	7308	7192	Hepeviridae Orthohepevirus A	82.45723	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444133.1	-143	7273	7133	Hepeviridae Orthohepevirus A	82.85064	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444132.1	-147	7302	7158	Hepeviridae Orthohepevirus A	83.06485	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444131.1	-30	7166	7138	Hepeviridae Orthohepevirus A	84.55654	NC_001434	false	HEV3	100.0	HEV3o (p)	100.0
MF444130.1	-128	7257	7132	Hepeviridae Orthohepevirus A	83.26784	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444129.1	-126	7255	7131	Hepeviridae Orthohepevirus A	82.50156	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444128.1	-38	7230	7192	Hepeviridae Orthohepevirus A	84.94336	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444127.1	-126	7277	7154	Hepeviridae Orthohepevirus A	82.909164	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444126.1	-137	7206	7072	Hepeviridae Orthohepevirus A	82.220825	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444125.1	-147	7265	7121	Hepeviridae Orthohepevirus A	83.12578	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444124.1	-127	7298	7174	Hepeviridae Orthohepevirus A	82.94287	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444123.1	-125	7324	7202	Hepeviridae Orthohepevirus A	82.38331	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444122.1	-52	7205	7154	Hepeviridae Orthohepevirus A	84.93179	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444121.1	-32	7095	7066	Hepeviridae Orthohepevirus A	83.66191	NC_001434	false	HEV3	100.0	HEV3o (p)	100.0
MF444120.1	-39	7197	7160	Hepeviridae Orthohepevirus A	85.03725	NC_001434	false	HEV3	100.0	HEV3h	100.0
MF444118.1	-33	7126	7096	Hepeviridae Orthohepevirus A	83.0452	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444117.1	-143	7288	7146	Hepeviridae Orthohepevirus A	82.89201	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444116.1	-43	7175	7135	Hepeviridae Orthohepevirus A	82.258064	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444115.1	-44	7176	7135	Hepeviridae Orthohepevirus A	84.66625	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444114.1	-36	7148	7115	Hepeviridae Orthohepevirus A	85.14215	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444113.1	-60	7193	7136	Hepeviridae Orthohepevirus A	81.86893	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444112.1	-143	7305	7165	Hepeviridae Orthohepevirus A	82.66145	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444111.1	-51	7191	7143	Hepeviridae Orthohepevirus A	85.36585	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444110.1	-53	7242	7190	Hepeviridae Orthohepevirus A	84.88157	NC_001434	false	HEV3	100.0	HEV3h	100.0
MF444109.1	-43	7192	7152	Hepeviridae Orthohepevirus A	82.39189	NC_001434	false	HEV3	100.0	HEV3e	100.0
MF444108.1	-128	7283	7158	Hepeviridae Orthohepevirus A	82.73307	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444107.1	-108	7263	7158	Hepeviridae Orthohepevirus A	82.94542	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444106.1	-53	7202	7152	Hepeviridae Orthohepevirus A	84.93801	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444105.1	-147	7308	7160	Hepeviridae Orthohepevirus A	82.6943	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444104.1	-41	7168	7130	Hepeviridae Orthohepevirus A	83.3887	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444103.1	-146	7275	7132	Hepeviridae Orthohepevirus A	82.8335	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444102.1	-57	7260	7206	Hepeviridae Orthohepevirus A	82.32982	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444101.1	-40	7211	7168	Hepeviridae Orthohepevirus A	83.23735	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444100.1	-144	7252	7111	Hepeviridae Orthohepevirus A	83.12877	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444099.1	-94	7255	7160	Hepeviridae Orthohepevirus A	92.11578	NC_001434	false	HEV3ra	100.0		
MF444098.1	-124	7280	7159	Hepeviridae Orthohepevirus A	82.7946	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444097.1	-141	7262	7124	Hepeviridae Orthohepevirus A	82.71066	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444096.1	-147	7307	7158	Hepeviridae Orthohepevirus A	83.39157	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444095.1	-131	7285	7157	Hepeviridae Orthohepevirus A	83.00412	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444094.1	-142	7294	7153	Hepeviridae Orthohepevirus A	82.78858	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444093.1	-146	7256	7113	Hepeviridae Orthohepevirus A	82.89747	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444092.1	-143	7283	7141	Hepeviridae Orthohepevirus A	82.87133	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444091.1	-60	7209	7152	Hepeviridae Orthohepevirus A	82.43802	NC_001434	false	HEV3	100.0	HEV3f	99.0
MF444090.1	-142	7312	7167	Hepeviridae Orthohepevirus A	82.38543	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444089.1	-57	7171	7117	Hepeviridae Orthohepevirus A	85.46813	NC_001434	false	HEV3	100.0	HEV3r (p)	100.0
MF444088.1	-144	7333	7192	Hepeviridae Orthohepevirus A	82.73248	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444087.1	-128	7296	7167	Hepeviridae Orthohepevirus A	82.8264	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444085.1	-43	7275	7235	Hepeviridae Orthohepevirus A	84.85726	NC_001434	false	HEV3	100.0	HEV3c	100.0
MF444084.1	-147	7266	7122	Hepeviridae Orthohepevirus A	83.188225	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444082.1	-144	7268	7127	Hepeviridae Orthohepevirus A	82.61682	NC_001434	false	HEV3	100.0	HEV3f	100.0
MF444081.1	-134	7257	7126	Hepeviridae Orthohepevirus A	82.2584	NC_001434	false	HEV3	100.0	HEV3f	100.0
